"cant_delitos_sum","cod_territorio","anio"
"13800","150101","2016"
"651","150102","2016"
"7479","150103","2016"
"1933","150104","2016"
"2688","150105","2016"
"3129","150106","2016"
"577","150107","2016"
"7528","150108","2016"
"270","150109","2016"
"8157","150110","2016"
"4068","150111","2016"
"5936","150112","2016"
"2771","150113","2016"
"2543","150114","2016"
"8301","150115","2016"
"978","150116","2016"
"7946","150117","2016"
"2251","150118","2016"
"1520","150119","2016"
"1652","150120","2016"
"1870","150121","2016"
"1480","150122","2016"
"1721","150123","2016"
"286","150124","2016"
"4602","150125","2016"
"245","150126","2016"
"118","150127","2016"
"3562","150128","2016"
"128","150129","2016"
"3184","150130","2016"
"2092","150131","2016"
"14050","150132","2016"
"5696","150133","2016"
"2093","150134","2016"
"10937","150135","2016"
"1241","150136","2016"
"2880","150137","2016"
"21","150138","2016"
"222","150139","2016"
"5729","150140","2016"
"1044","150141","2016"
"4518","150142","2016"
"6128","150143","2016"
"12977","150101","2017"
"645","150102","2017"
"6689","150103","2017"
"2046","150104","2017"
"2656","150105","2017"
"3870","150106","2017"
"524","150107","2017"
"6225","150108","2017"
"296","150109","2017"
"9763","150110","2017"
"4114","150111","2017"
"6362","150112","2017"
"3615","150113","2017"
"1750","150114","2017"
"7574","150115","2017"
"1435","150116","2017"
"9576","150117","2017"
"2497","150118","2017"
"1779","150119","2017"
"1421","150120","2017"
"1595","150121","2017"
"2485","150122","2017"
"1789","150123","2017"
"207","150124","2017"
"4215","150125","2017"
"332","150126","2017"
"118","150127","2017"
"3604","150128","2017"
"160","150129","2017"
"3438","150130","2017"
"2667","150131","2017"
"11797","150132","2017"
"5230","150133","2017"
"1811","150134","2017"
"13261","150135","2017"
"1252","150136","2017"
"2193","150137","2017"
"6","150138","2017"
"155","150139","2017"
"7388","150140","2017"
"1318","150141","2017"
"4986","150142","2017"
"7474","150143","2017"
"16830","150101","2018"
"661","150102","2018"
"8117","150103","2018"
"1888","150104","2018"
"2528","150105","2018"
"3994","150106","2018"
"710","150107","2018"
"5812","150108","2018"
"351","150109","2018"
"9301","150110","2018"
"5673","150111","2018"
"6485","150112","2018"
"3339","150113","2018"
"1622","150114","2018"
"7334","150115","2018"
"1704","150116","2018"
"9531","150117","2018"
"2987","150118","2018"
"1386","150119","2018"
"1417","150120","2018"
"2063","150121","2018"
"2782","150122","2018"
"1613","150123","2018"
"265","150124","2018"
"4088","150125","2018"
"298","150126","2018"
"224","150127","2018"
"3370","150128","2018"
"162","150129","2018"
"1962","150130","2018"
"2530","150131","2018"
"18074","150132","2018"
"6617","150133","2018"
"1776","150134","2018"
"9926","150135","2018"
"1574","150136","2018"
"4293","150137","2018"
"16","150138","2018"
"186","150139","2018"
"8780","150140","2018"
"1663","150141","2018"
"6226","150142","2018"
"8640","150143","2018"
"14146","150101","2019"
"853","150102","2019"
"8125","150103","2019"
"2008","150104","2019"
"2392","150105","2019"
"5158","150106","2019"
"560","150107","2019"
"3557","150108","2019"
"380","150109","2019"
"10011","150110","2019"
"4588","150111","2019"
"5814","150112","2019"
"2360","150113","2019"
"1060","150114","2019"
"5451","150115","2019"
"2397","150116","2019"
"7133","150117","2019"
"2715","150118","2019"
"1249","150119","2019"
"1370","150120","2019"
"2442","150121","2019"
"2755","150122","2019"
"1388","150123","2019"
"305","150124","2019"
"3894","150125","2019"
"298","150126","2019"
"155","150127","2019"
"3608","150128","2019"
"138","150129","2019"
"1427","150130","2019"
"2106","150131","2019"
"16629","150132","2019"
"4991","150133","2019"
"1648","150134","2019"
"8434","150135","2019"
"1316","150136","2019"
"3785","150137","2019"
"23","150138","2019"
"305","150139","2019"
"7861","150140","2019"
"876","150141","2019"
"5620","150142","2019"
"8937","150143","2019"
"9315","150101","2020"
"736","150102","2020"
"4954","150103","2020"
"501","150104","2020"
"1538","150105","2020"
"3785","150106","2020"
"563","150107","2020"
"2351","150108","2020"
"252","150109","2020"
"6463","150110","2020"
"3687","150111","2020"
"3159","150112","2020"
"1453","150113","2020"
"894","150114","2020"
"4403","150115","2020"
"1318","150116","2020"
"5754","150117","2020"
"1833","150118","2020"
"892","150119","2020"
"823","150120","2020"
"965","150121","2020"
"1657","150122","2020"
"878","150123","2020"
"189","150124","2020"
"2475","150125","2020"
"202","150126","2020"
"88","150127","2020"
"2070","150128","2020"
"91","150129","2020"
"906","150130","2020"
"1172","150131","2020"
"10971","150132","2020"
"3014","150133","2020"
"1001","150134","2020"
"5118","150135","2020"
"1007","150136","2020"
"1601","150137","2020"
"28","150138","2020"
"208","150139","2020"
"4741","150140","2020"
"1255","150141","2020"
"3194","150142","2020"
"4861","150143","2020"
"12807","150101","2021"
"772","150102","2021"
"6136","150103","2021"
"1057","150104","2021"
"2042","150105","2021"
"4012","150106","2021"
"616","150107","2021"
"3426","150108","2021"
"329","150109","2021"
"7748","150110","2021"
"3923","150111","2021"
"4650","150112","2021"
"1699","150113","2021"
"1437","150114","2021"
"5086","150115","2021"
"1495","150116","2021"
"6671","150117","2021"
"2060","150118","2021"
"1215","150119","2021"
"1187","150120","2021"
"1098","150121","2021"
"2838","150122","2021"
"1003","150123","2021"
"214","150124","2021"
"3519","150125","2021"
"197","150126","2021"
"108","150127","2021"
"2475","150128","2021"
"123","150129","2021"
"1407","150130","2021"
"1479","150131","2021"
"14124","150132","2021"
"4887","150133","2021"
"1223","150134","2021"
"5431","150135","2021"
"1397","150136","2021"
"2266","150137","2021"
"21","150138","2021"
"309","150139","2021"
"5946","150140","2021"
"2412","150141","2021"
"3334","150142","2021"
"5981","150143","2021"
"17153","150101","2022"
"1039","150102","2022"
"7085","150103","2022"
"2019","150104","2022"
"2081","150105","2022"
"4724","150106","2022"
"703","150107","2022"
"5621","150108","2022"
"340","150109","2022"
"9411","150110","2022"
"3786","150111","2022"
"6656","150112","2022"
"2195","150113","2022"
"2012","150114","2022"
"5286","150115","2022"
"1658","150116","2022"
"7721","150117","2022"
"2726","150118","2022"
"1943","150119","2022"
"1358","150120","2022"
"1646","150121","2022"
"4424","150122","2022"
"1202","150123","2022"
"194","150124","2022"
"4087","150125","2022"
"291","150126","2022"
"109","150127","2022"
"4154","150128","2022"
"233","150129","2022"
"1976","150130","2022"
"1306","150131","2022"
"18858","150132","2022"
"5650","150133","2022"
"1184","150134","2022"
"9263","150135","2022"
"1635","150136","2022"
"2881","150137","2022"
"18","150138","2022"
"266","150139","2022"
"6487","150140","2022"
"1739","150141","2022"
"5497","150142","2022"
"7201","150143","2022"
"17601","150101","2023"
"1255","150102","2023"
"6656","150103","2023"
"1924","150104","2023"
"2991","150105","2023"
"4695","150106","2023"
"914","150107","2023"
"7091","150108","2023"
"534","150109","2023"
"9189","150110","2023"
"2966","150111","2023"
"7493","150112","2023"
"2771","150113","2023"
"2328","150114","2023"
"5457","150115","2023"
"1689","150116","2023"
"8212","150117","2023"
"3957","150118","2023"
"1863","150119","2023"
"1009","150120","2023"
"1283","150121","2023"
"8219","150122","2023"
"1564","150123","2023"
"302","150124","2023"
"4836","150125","2023"
"404","150126","2023"
"151","150127","2023"
"5324","150128","2023"
"243","150129","2023"
"2536","150130","2023"
"2532","150131","2023"
"19335","150132","2023"
"5825","150133","2023"
"1065","150134","2023"
"11188","150135","2023"
"1472","150136","2023"
"2747","150137","2023"
"51","150138","2023"
"247","150139","2023"
"7761","150140","2023"
"2106","150141","2023"
"7115","150142","2023"
"8948","150143","2023"
"26068","150101","2024"
"1474","150102","2024"
"11885","150103","2024"
"2734","150104","2024"
"3711","150105","2024"
"6841","150106","2024"
"1498","150107","2024"
"7580","150108","2024"
"753","150109","2024"
"12379","150110","2024"
"4148","150111","2024"
"8289","150112","2024"
"3702","150113","2024"
"3930","150114","2024"
"8871","150115","2024"
"3716","150116","2024"
"10936","150117","2024"
"5190","150118","2024"
"2434","150119","2024"
"1443","150120","2024"
"1631","150121","2024"
"10682","150122","2024"
"2202","150123","2024"
"483","150124","2024"
"6477","150125","2024"
"489","150126","2024"
"214","150127","2024"
"6341","150128","2024"
"277","150129","2024"
"3780","150130","2024"
"4440","150131","2024"
"25670","150132","2024"
"8488","150133","2024"
"1685","150134","2024"
"13694","150135","2024"
"3454","150136","2024"
"4701","150137","2024"
"49","150138","2024"
"384","150139","2024"
"11715","150140","2024"
"2859","150141","2024"
"8513","150142","2024"
